"Sublocation","Location","Area","Region","Latitude","Longitude"
NA,"Bering Sea",NA,"Alaska",59.1402,-176.1994
NA,"Bering Sea",NA,"Alaska",59.7464,-175.7048
NA,"Bering Sea",NA,"Alaska",59.7207,-175.7755
NA,"Bering Sea",NA,"Alaska",59.4448,-177.6599
NA,"Bering Sea",NA,"Alaska",59.4476,-177.7058
NA,"Bering Sea",NA,"Alaska",59.2552,-177.8837
NA,"Bering Sea",NA,"Alaska",59.42,-175.4481
NA,"Bering Sea",NA,"Alaska",59.424,-175.4518
NA,"Bering Sea",NA,"Alaska",59.1074,-174.7229
NA,"Bering Sea",NA,"Alaska",60.1953,-174.5588
NA,"Bering Sea",NA,"Alaska",60.2074,-174.4914
NA,"Bering Sea",NA,"Alaska",59.1914,-176.2042
NA,"Bering Sea",NA,"Alaska",59.1324,-176.2068
NA,"Bering Sea",NA,"Alaska",59.4082,-171.5855
NA,"Bering Sea",NA,"Alaska",59.4185,-171.5406
NA,"Bering Sea",NA,"Alaska",59.4295,-171.5571
NA,"Bering Sea",NA,"Alaska",62.514,-175.0502
NA,"Bering Sea",NA,"Alaska",62.4955,-175.0035
NA,"Bering Sea",NA,"Alaska",60.7719,-171.0609
NA,"Bering Sea",NA,"Alaska",60.8278,-171.2026
NA,"Bering Sea",NA,"Alaska",60.8318,-171.1906
NA,"Bering Sea",NA,"Alaska",60.8351,-171.1522
NA,"Bering Sea",NA,"Alaska",61.2128,-174.199
NA,"Bering Sea",NA,"Alaska",61.9049,-174.5579
NA,"Bering Sea",NA,"Alaska",61.387,-174.2887
NA,"Bering Sea",NA,"Alaska",59.4086,-171.584
NA,"Bering Sea",NA,"Alaska",59.404,-171.5814
NA,"Bering Sea",NA,"Alaska",61.1099,-173.9271
NA,"Bering Sea",NA,"Alaska",62.28,-174.94
NA,"Bering Sea",NA,"Alaska",62.479,-174.9813
NA,"Bering Sea",NA,"Alaska",60.7657,-171.0303
NA,"Bering Sea",NA,"Alaska",60.7737,-171.0649
NA,"Bering Sea",NA,"Alaska",60.8379,-171.1122
NA,"Bering Sea",NA,"Alaska",60.851,-171.0902
NA,"Bering Sea",NA,"Alaska",60.8174,-171.0665
NA,"Bering Sea",NA,"Alaska",60.5257,-171.6244
NA,"Bering Sea",NA,"Alaska",60.5283,-171.7173
NA,"Bering Sea",NA,"Alaska",61.4168,-174.5718
NA,"Bering Sea",NA,"Alaska",61.3953,-174.3087
NA,"Bering Sea",NA,"Alaska",62.0429,-170.9317
NA,"Bering Sea",NA,"Alaska",62.0203,-170.9883
NA,"Bering Sea",NA,"Alaska",59.7466,-175.7502
NA,"Bering Sea",NA,"Alaska",59.7541,-175.7407
NA,"Bering Sea",NA,"Alaska",59.4265,-177.6241
NA,"Bering Sea",NA,"Alaska",59.1285,-176.1765
NA,"Bering Sea",NA,"Alaska",59.1255,-176.2613
NA,"Bering Sea",NA,"Alaska",59.7641,-175.6962
NA,"Bering Sea",NA,"Alaska",59.4292,-177.6038
NA,"Bering Sea",NA,"Alaska",59.3948,-175.3939
NA,"Bering Sea",NA,"Alaska",59.3958,-175.4
NA,"Bering Sea",NA,"Alaska",59.0791,-174.6358
NA,"Bering Sea",NA,"Alaska",59.1233,-176.1739
NA,"Bering Sea",NA,"Alaska",59.7242,-176.1899
NA,"Homer","SC","Alaska",59.612,-151.4459
NA,"Homer","SC","Alaska",59.624,-151.468
NA,"Homer","SC","Alaska",59.6323,-151.4994
NA,"Glacier National Park","SE","Alaska",58.2302,-136.0212
NA,"Homer","SC","Alaska",59.6229,-151.4585
NA,"Homer","SC","Alaska",59.6019,-151.4248
NA,"Seldovia","SC","Alaska",59.4983,-151.715
NA,"Central Kachemak Bay","SC","Alaska",59.6593166666667,-151.265783333333
NA,"Central Kachemak Bay","SC","Alaska",59.6681,-151.20715
NA,"Central Kachemak Bay","SC","Alaska",59.6393333333333,-151.263416666667
NA,"Central Kachemak Bay","SC","Alaska",59.63645,-151.269783333333
